Player,Pos,Squad,Age,90s,TklW,Tkl%,Blocks,Int,Tkl+Int,Clr,Err,Total Cmp,Total Cmp%,Short Cmp,Long Cmp,Long Cmp%,Passes into final third,Prog,SCA,Recov,Aerial Won,Aerial Won%,Touches Def 3rd,Touches Mid 3rd,Rec
Miguel Nóbrega,DF,Rio Ave,22-266,5.2,0.96,62.5,1.92,0.58,1.92,3.85,0.0,46.3,81.1,14.2,3.85,45.5,2.5,1.73,0.77,3.27,1.92,47.6,29.8,34.2,49.2
João Nunes,DF,Casa Pia,27-050,8.9,1.8,86.4,1.91,1.57,4.72,4.27,0.0,42.2,81.7,17.6,3.6,47.8,4.04,3.6,0.67,5.96,1.91,68.0,35.1,27.2,39.8
Paulo Oliveira,DF,Braga,31-000,5.6,0.89,100.0,1.07,2.5,3.75,5.18,0.0,45.2,80.6,9.82,6.25,53.8,2.14,1.96,0.54,4.29,2.14,57.1,37.0,30.4,43.4
Jerome Opoku,DF,Arouca,24-086,11.7,0.51,77.8,1.28,1.2,2.31,4.87,0.09,29.8,80.6,8.21,3.59,48.3,1.54,1.28,0.6,4.53,1.71,57.1,29.1,17.9,28.6
Nicolás Otamendi,DF,Benfica,34-330,14.0,1.57,63.6,0.86,2.43,4.5,2.93,0.0,74.0,92.2,25.0,8.86,82.7,4.71,4.14,1.07,7.64,2.57,66.7,36.4,51.7,65.9
João Othavio Basso,DF,Arouca,25-360,14.0,1.07,45.0,1.5,1.64,3.43,4.79,0.07,42.5,86.0,12.6,5.14,63.7,2.43,1.71,0.57,6.21,1.43,60.6,38.6,21.1,35.9
Renato Pantalon,DF,Rio Ave,25-073,5.6,0.54,75.0,0.89,1.61,2.86,3.39,0.0,32.9,81.8,11.8,3.21,69.2,1.96,0.89,0.36,3.39,1.43,80.0,21.6,25.7,29.6
Patrick,DF,Rio Ave,25-219,6.0,1.17,41.7,1.0,1.33,3.0,2.83,0.0,52.5,83.1,17.8,6.33,65.5,3.83,4.0,1.0,5.0,1.33,61.5,30.5,38.8,47.8
Pedrão,DF,Portimonense,25-250,12.0,0.67,64.3,1.33,1.5,2.92,3.83,0.0,41.0,81.3,8.33,7.75,56.4,4.08,2.17,1.0,6.08,1.67,83.3,36.3,23.2,39.2
Pepe,DF,Porto,39-316,6.0,2.0,56.3,0.5,1.33,4.0,3.5,0.0,55.5,82.2,19.8,9.0,62.1,5.5,5.0,1.5,9.67,2.83,73.9,40.5,35.0,48.7
